Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
IIT_Delhi,0.067835648,01:55:09,91,91.079965,-999,-999,-999,-999,-999,73.93642,74.592313,2.711773,0.118282,0.20558,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.08031,0.15212,0.29482,0.29263,1,1,30:06:2022,22:29:35,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,02:29:19,91,91.103692,-999,-999,-999,-999,-999,66.483868,67.136139,1.716754,0.131433,0.208548,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.0719,0.1361,0.2666,0.26613,1,1,30:06:2022,22:36:07,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,10:07:28,91,91.421852,0.054311,0.017332,0.019762,0.018539,1.611808,52.007712,51.382179,3.705958,0.331429,0.419625,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.06264,0.11808,0.23418,0.2346,1,1,30:06:2022,22:23:44,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,10:29:48,91,91.437361,0.060357,0.024549,0.027198,0.02595,1.270646,56.716261,56.079023,4.058046,0.354793,0.445318,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,3,0.06517,0.12276,0.24219,0.24167,1,1,30:06:2022,22:27:23,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,10:59:31,91,91.457998,0.0601,0.022361,0.02353,0.025805,1.477484,63.089285,62.441662,4.305382,0.276718,0.443055,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.06959,0.13095,0.25623,0.25411,1,1,30:06:2022,22:35:45,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,11:47:05,91,91.49103,0.074763,0.035127,0.032919,0.03066,1.265222,73.433976,72.778876,4.995134,0.120703,0.535918,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.08062,0.15138,0.29121,0.28512,1,1,30:06:2022,22:44:54,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.067835648,12:05:35,91,91.503877,0.072488,0.036184,0.033732,0.029544,1.177536,77.474102,76.819209,4.611778,0.060045,0.548705,4,9,7,5,4,9,7,6,4,10,7,6,4,10,7,6,0.08704,0.16324,0.31148,0.30305,1,1,30:06:2022,22:48:44,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.109502315,01:54:11,92,92.079294,-999,-999,-999,-999,-999,73.900859,74.55703,1.966071,0.099946,0.307889,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.08027,0.15203,0.29466,0.29248,1,1,30:06:2022,22:16:22,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.109502315,03:15:12,92,92.135556,-999,-999,-999,-999,-999,56.341463,56.981118,2.3415,0.246848,0.338232,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.06454,0.12211,0.24202,0.24321,1,1,30:06:2022,22:27:02,1170,28.545,77.1926,15,lev20,Almucantar
IIT_Delhi,0.109502315,03:44:07,92,92.155637,-999,-999,-999,-999,-999,50.250994,50.875551,2.492475,0.247269,0.370364,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.06153,0.1164,0.23199,0.23392,1,1,30:06:2022,22:29:53,1170,28.545,77.1926,15,lev20,Almucantar
