Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Pune,26:10:2004,03:21:49,300,300.14015,0.073614,0.050324,0.03534,0.033574,1.061538,59.063823,59.692697,1.803739,0.039117,0.464779,3,11,7,5,3,10,8,5,4,10,7,5,3,10,8,5,0.05024,0.08921,0.26582,0.27084,1,1,0.274050926,04:35:37,344,18.537255,73.805491,595,lev20,Almucantar
Pune,27:10:2004,02:08:35,301,301.089294,0.050324,0.038803,0.031182,0.026434,0.695312,75.079611,75.748059,1.32304,0.004467,0.485184,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,6,0.06066,0.10911,0.32451,0.32962,1,1,24:01:2021,19:54:50,344,18.537255,73.805491,595,lev20,Almucantar
Pune,27:10:2004,02:31:05,301,301.104919,0.05813,0.037982,0.028596,0.025536,1.040408,70.1027,70.762015,1.821438,0.012892,0.473632,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05643,0.10101,0.30079,0.3057,1,1,24:01:2021,19:58:14,344,18.537255,73.805491,595,lev20,Almucantar
Pune,30:10:2004,09:47:16,304,304.407824,0.048528,0.03224,0.026897,0.022935,0.878915,55.313819,54.717618,2.803436,0.035077,0.497837,4,10,8,4,4,9,8,4,4,10,8,3,4,8,5,4,0.04875,0.08601,0.25845,0.26035,1,1,24:01:2021,19:46:50,344,18.537255,73.805491,595,lev20,Almucantar
Pune,30:10:2004,10:12:20,304,304.425231,0.053656,0.032046,0.02382,0.022083,1.19788,60.416844,59.795686,2.8766,0.014951,0.520508,3,10,8,5,3,10,8,5,3,9,8,5,3,10,7,5,0.05077,0.08974,0.27024,0.27109,1,1,24:01:2021,19:49:38,344,18.537255,73.805491,595,lev20,Almucantar
Pune,30:10:2004,11:01:42,304,304.459514,0.054445,0.038913,0.031089,0.027073,0.821707,70.951291,70.297055,1.946005,0.008288,0.547047,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05695,0.10117,0.3062,0.3038,1,1,24:01:2021,19:52:39,344,18.537255,73.805491,595,lev20,Almucantar
Pune,30:10:2004,11:24:19,304,304.47522,0.060171,0.037612,0.02947,0.025476,1.057068,75.92735,75.263395,1.711768,0.006587,0.543292,4,10,6,6,4,10,7,6,4,10,7,6,4,10,7,6,0.06135,0.10929,0.33179,0.32697,1,1,24:01:2021,19:56:50,344,18.537255,73.805491,595,lev20,Almucantar
Pune,31:10:2004,02:10:44,305,305.090787,0.043701,0.035364,0.03134,0.025066,0.490595,75.07578,75.737906,2.548909,0.014652,0.510284,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.06026,0.10978,0.31204,0.31911,1,1,24:01:2021,20:05:51,344,18.537255,73.805491,595,lev20,Almucantar
Pune,31:10:2004,02:33:29,305,305.106586,0.054165,0.03667,0.029391,0.026877,0.902299,70.095854,70.747794,1.263009,0.008181,0.51654,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05595,0.10156,0.28923,0.29595,1,1,24:01:2021,20:10:12,344,18.537255,73.805491,595,lev20,Almucantar
Pune,31:10:2004,03:22:57,305,305.140938,0.060618,0.036184,0.026082,0.024875,1.239293,59.61952,60.237304,2.120047,0.043159,0.494282,3,10,8,5,3,10,6,5,3,10,8,5,3,10,8,5,0.0499,0.09005,0.25707,0.26355,1,1,24:01:2021,20:12:36,344,18.537255,73.805491,595,lev20,Almucantar
Pune,31:10:2004,03:47:14,305,305.157801,0.066447,0.042557,0.027694,0.026531,1.264066,54.727246,55.320249,1.681726,0.048954,0.50599,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.04798,0.0864,0.24677,0.25326,1,1,24:01:2021,20:15:17,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,02:14:20,311,311.093287,-999,-999,-999,-999,-999,75.057812,75.710166,1.973674,0.009778,0.327434,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,5,0.06023,0.10974,0.31196,0.31896,1,1,24:01:2021,19:59:21,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,02:37:23,311,311.109294,-999,-999,-999,-999,-999,70.093716,70.734349,2.040905,0.024199,0.345072,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05595,0.10156,0.28928,0.2959,1,1,0.274050926,05:02:51,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,03:27:58,311,311.144421,0.081995,0.052164,0.034379,0.032924,1.257822,59.61258,60.214038,1.357766,0.026827,0.435856,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.0499,0.09004,0.25705,0.2635,1,1,0.274050926,05:02:39,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,03:47:20,311,311.15787,0.085331,0.053484,0.03812,0.032872,1.177786,55.807394,56.387434,3.368675,0.347321,0.440742,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.04837,0.08713,0.24886,0.25529,1,1,24:01:2021,20:02:19,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,09:47:20,311,311.40787,-999,-999,-999,-999,-999,56.590052,56.008805,2.898327,0.343685,0.376771,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.0486,0.08721,0.25116,0.25456,1,1,24:01:2021,20:10:37,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,10:06:41,311,311.421308,-999,-999,-999,-999,-999,60.420152,59.817748,3.205626,0.296796,0.373581,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.05019,0.09014,0.2599,0.26258,1,1,24:01:2021,20:13:22,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,10:57:15,311,311.456424,0.067067,0.043666,0.035557,0.03243,0.94249,70.948589,70.30743,1.543766,0.011148,0.412491,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05647,0.10174,0.29442,0.29421,1,1,24:01:2021,20:16:11,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.280833333,11:20:18,311,311.472431,0.065777,0.044856,0.0375,0.033186,0.835308,75.927397,75.274731,1.466685,0.00793,0.429329,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.06096,0.11001,0.31903,0.31666,1,1,0.274050926,05:02:57,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.5725,10:01:51,318,318.417951,-999,-999,-999,-999,-999,60.420114,59.836372,2.911982,0.041291,0.281623,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.05054,0.09221,0.25019,0.25487,1,1,24:01:2021,20:13:26,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.614166667,02:19:37,319,319.096956,0.046068,0.041103,0.0332,0.029089,0.460204,75.042948,75.682337,1.589681,0.004601,0.486564,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.06139,0.11295,0.30134,0.31076,1,1,24:01:2021,19:54:11,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.614166667,02:43:10,319,319.11331,0.060583,0.04258,0.029288,0.027763,1.045532,70.081508,70.707158,1.961368,0.014841,0.497318,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05675,0.10427,0.27902,0.28787,1,1,24:01:2021,19:57:16,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.614166667,03:35:14,319,319.149468,0.085651,0.063064,0.049397,0.03853,0.801299,59.608467,60.188342,1.539658,0.011247,0.66134,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.05022,0.09208,0.24742,0.25569,1,1,24:01:2021,20:00:34,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.655833333,02:20:20,320,320.097454,0.034991,0.036253,0.034158,0.032223,0.023117,75.03658,75.674381,6.419708,0.308894,0.688009,4,10,7,6,4,10,7,6,3,10,7,6,4,10,4,5,0.06137,0.11292,0.30124,0.31072,1,1,24:01:2021,20:00:54,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.655833333,10:01:00,320,320.417361,0.058887,0.039258,0.029862,0.026677,0.995391,60.487356,59.908411,2.849677,0.037292,0.53025,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.05057,0.09228,0.25036,0.25504,1,1,24:01:2021,20:09:34,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.655833333,11:16:30,320,320.469792,0.057005,0.046918,0.03984,0.034895,0.520482,75.931316,75.293048,2.257402,0.008728,0.606521,4,9,7,6,4,9,7,6,4,10,7,6,4,9,7,6,0.06219,0.11328,0.30832,0.30872,1,1,24:01:2021,20:17:30,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.6975,02:21:01,321,321.097928,0.056197,0.041292,0.032027,0.027665,0.817499,75.038655,75.674903,6.151623,0.031139,0.767803,4,10,7,6,4,10,7,6,4,10,6,5,4,10,7,5,0.06013,0.10984,0.28742,0.29622,1,1,24:01:2021,19:55:02,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.6975,02:44:42,321,321.114375,0.0439,0.035967,0.028901,0.027211,0.600478,70.076001,70.69802,3.071071,0.030232,0.6933,4,10,7,6,4,10,7,6,4,10,5,5,4,10,5,3,0.05575,0.10191,0.26656,0.27507,1,1,24:01:2021,19:58:38,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,02:21:43,322,322.098414,-999,-999,-999,-999,-999,75.038447,75.673154,2.168775,0.033455,0.208453,4,10,7,6,4,10,7,6,4,10,6,5,4,10,7,5,0.06013,0.10985,0.28743,0.29621,1,1,24:01:2021,20:11:06,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,02:45:28,322,322.114907,-999,-999,-999,-999,-999,70.075037,70.695277,1.70946,0.053909,0.224477,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05575,0.1019,0.26662,0.27506,1,1,24:01:2021,20:14:42,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,03:38:06,322,322.151458,-999,-999,-999,-999,-999,59.603329,60.175383,2.596757,0.148404,0.299561,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.04958,0.09079,0.23719,0.24541,1,1,24:01:2021,19:51:23,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,03:48:50,322,322.158912,-999,-999,-999,-999,-999,57.586703,58.145456,2.691524,0.237961,0.303038,4,10,7,5,4,10,7,4,4,10,7,4,4,10,6,4,0.04871,0.08924,0.23305,0.24127,1,1,24:01:2021,19:53:42,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,09:48:47,322,322.408877,-999,-999,-999,-999,-999,58.379483,57.81918,2.202919,0.037058,0.353652,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.04898,0.08936,0.23534,0.24065,1,1,24:01:2021,20:02:05,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.739166667,10:01:24,322,322.417639,-999,-999,-999,-999,-999,60.776303,60.200707,2.230885,0.029811,0.366763,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.05005,0.09121,0.24059,0.24547,1,1,24:01:2021,20:05:27,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.780833333,02:22:24,323,323.098889,-999,-999,-999,-999,-999,75.042896,75.676092,1.324901,0.005858,0.348858,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.06014,0.10985,0.28745,0.29622,1,1,24:01:2021,19:51:05,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.780833333,02:46:15,323,323.115451,-999,-999,-999,-999,-999,70.071668,70.690142,1.416224,0.019108,0.381979,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.05575,0.1019,0.2666,0.27504,1,1,24:01:2021,19:54:13,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.780833333,03:39:03,323,323.152118,0.085496,0.054879,0.037889,0.034339,1.182522,59.604394,60.173916,1.612593,0.038238,0.471561,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.04958,0.09079,0.23719,0.24541,1,1,24:01:2021,19:57:04,344,18.537255,73.805491,595,lev20,Almucantar
Pune,0.780833333,03:49:02,323,323.159051,0.083317,0.054512,0.037206,0.034725,1.167779,57.735835,58.292884,1.762326,0.057437,0.474644,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.04877,0.08935,0.23334,0.24156,1,1,24:01:2021,20:00:00,344,18.537255,73.805491,595,lev20,Almucantar
